Country/Economy,Score (0–100),Rank,Income,Region,Rank,Efficiency Ratio,Rank
Switzerland,66.28,1,HI,EUR,1,0.94,5
Sweden,63.57,2,HI,EUR,2,0.86,10
United Kingdom,61.93,3,HI,EUR,3,0.83,14
United States of America,61.4,4,HI,NAC,1,0.79,25
Finland,59.9,5,HI,EUR,4,0.75,32
Singapore,59.16,6,HI,SEAO,1,0.62,78
Ireland,59.03,7,HI,EUR,5,0.89,8
Denmark,58.45,8,HI,EUR,6,0.74,34
Netherlands,58.29,9,HI,EUR,7,0.82,20
Germany,57.94,10,HI,EUR,8,0.87,9
"Korea, Rep.",57.15,11,HI,SEAO,2,0.8,24
Luxembourg,57.11,12,HI,EUR,9,1.02,1
Iceland,55.99,13,HI,EUR,10,0.98,3
Hong Kong (China),55.69,14,HI,SEAO,3,0.61,83
Canada,54.71,15,HI,NAC,2,0.67,57
Japan,54.52,16,HI,SEAO,4,0.65,65
New Zealand,54.23,17,HI,SEAO,5,0.73,40
France,54.04,18,HI,EUR,11,0.73,44
Australia,53.07,19,HI,SEAO,6,0.64,73
Austria,52.65,20,HI,EUR,12,0.73,43
Israel,52.28,21,HI,NAWA,1,0.81,23
Norway,52.01,22,HI,EUR,13,0.68,55
Belgium,51.97,23,HI,EUR,14,0.78,27
Estonia,51.73,24,HI,EUR,15,0.91,6
China,50.57,25,UM,SEAO,7,0.9,7
Malta,50.44,26,HI,EUR,16,0.98,2
Czech Republic,49.4,27,HI,EUR,17,0.82,21
Spain,49.19,28,HI,EUR,18,0.72,48
Italy,47.17,29,HI,EUR,19,0.74,33
Portugal,46.45,30,HI,EUR,20,0.75,31
Cyprus,46.34,31,HI,NAWA,2,0.79,26
Slovenia,45.97,32,HI,EUR,21,0.74,39
Hungary,44.71,33,HI,EUR,22,0.83,17
Latvia,44.33,34,HI,EUR,23,0.78,28
Malaysia,43.36,35,UM,SEAO,8,0.67,59
Lithuania,41.76,36,HI,EUR,24,0.63,75
Slovakia,41.7,37,HI,EUR,25,0.74,36
Bulgaria,41.42,38,UM,EUR,26,0.83,16
Poland,40.22,39,HI,EUR,27,0.65,66
Greece,39.75,40,HI,EUR,28,0.61,84
United Arab Emirates,39.35,41,HI,NAWA,3,0.44,117
Turkey,39.03,42,UM,NAWA,4,0.84,13
Russian Federation,38.5,43,HI,EUR,29,0.65,69
Chile,38.41,44,HI,LCN,1,0.59,91
Costa Rica,38.4,45,UM,LCN,2,0.71,50
"Moldova, Rep.",38.39,46,LM,EUR,30,0.94,4
Croatia,38.29,47,HI,EUR,31,0.65,68
Romania,37.9,48,UM,EUR,32,0.72,46
Saudi Arabia,37.75,49,HI,NAWA,5,0.61,85
Qatar,37.47,50,HI,NAWA,6,0.56,97
Montenegro,37.36,51,UM,EUR,33,0.62,80
